,Country,Ethnicity
1061,2,Black or African American
1062,2,Black or African American
1063,2,Black or African American
1064,1,Black or African American
1065,2,Black or African American
1066,1,Black or African American
1067,1,Black or African American
1068,2,Black or African American
1069,2,Black or African American
1070,1,Black or African American
1071,2,Black or African American
1072,2,Black or African American
1073,2,Black or African American
1074,2,Black or African American
1075,2,Black or African American
1076,2,Black or African American
1077,2,Black or African American
1078,2,Black or African American
1079,2,Black or African American
1080,2,Black or African American
1081,2,Black or African American
1082,2,Black or African American
1083,2,Black or African American
1084,2,Black or African American
1085,2,Black or African American
1086,2,Black or African American
1087,2,Black or African American
1088,2,Black or African American
1089,1,Black or African American
1090,2,Black or African American
1091,2,Black or African American
1092,2,Black or African American
1093,2,Black or African American
1094,2,Black or African American
1095,1,Black or African American
1096,2,Black or African American
1097,2,Black or African American
1098,1,Black or African American
1099,2,Black or African American
1100,2,Black or African American
1101,2,Black or African American
1102,2,Black or African American
1103,2,Black or African American
1104,2,Black or African American
1105,2,Black or African American
1106,1,Black or African American
1107,2,Black or African American
1108,1,Black or African American
1109,1,Black or African American
1110,2,Black or African American
1111,1,Black or African American
1112,1,Black or African American
1113,2,Black or African American
1114,2,Black or African American
1115,2,Black or African American
1116,2,Black or African American
1117,2,Black or African American
1118,2,Black or African American
1119,2,Black or African American
1120,2,Black or African American
1121,2,Black or African American
1122,2,Black or African American
1123,1,Black or African American
1124,1,Black or African American
1125,1,Black or African American
1126,2,Black or African American
1127,1,Black or African American
1128,1,Black or African American
1129,1,Black or African American
1130,1,Black or African American
1131,1,Black or African American
1132,2,Black or African American
1133,1,Black or African American
1134,1,Black or African American
1135,2,Black or African American
1136,2,Black or African American
1137,1,Black or African American
1138,2,Black or African American
1139,2,Black or African American
1140,2,Black or African American
1141,2,Black or African American
1142,2,Black or African American
1143,2,Black or African American
1144,2,Black or African American
1145,2,Black or African American
1146,2,Black or African American
1147,2,Black or African American
1148,1,Black or African American
1149,2,Black or African American
1150,1,Black or African American
1151,2,Black or African American
1152,2,Black or African American
1153,2,Black or African American
1154,2,Black or African American
1155,2,Black or African American
1156,2,Black or African American
1157,2,Black or African American
1158,2,Black or African American
1159,2,Black or African American
1160,2,Black or African American
