,Gender,Country,Hired on,Terminated on,ACTION,Grade,Unnamed: 6,Unnamed: 7,Unnamed: 8,Ethnicity
109,M,2,01/12/2011,12/29/2015,1,1.0,,01/12/201112/29/2015,,White
110,M,2,10/15/2013,04/07/2016,1,1.0,,10/15/201304/07/2016,,White
111,M,2,10/06/2004,11/13/2015,1,1.0,,10/06/200411/13/2015,,White
112,M,2,08/01/2011,11/08/2016,1,1.0,,08/01/201111/08/2016,,White
113,M,2,11/07/2011,09/01/2016,1,1.0,,11/07/201109/01/2016,,White
114,M,2,03/27/2012,08/31/2016,1,1.0,,03/27/201208/31/2016,,White
115,M,2,09/05/2006,06/30/2016,2,3.0,,09/05/200606/30/2016,,White
116,M,2,10/29/2012,04/22/2016,1,1.0,,10/29/201204/22/2016,,White
117,F,2,03/04/2013,09/20/2016,2,1.0,,03/04/201309/20/2016,,White
118,F,2,06/18/2007,10/14/2016,1,1.0,,06/18/200710/14/2016,,White
119,M,2,10/28/2013,09/23/2016,1,1.0,,10/28/201309/23/2016,,White
120,F,2,02/18/2008,03/18/2016,1,1.0,,02/18/200803/18/2016,,White
121,M,2,02/24/2014,04/29/2016,2,5.0,,02/24/201404/29/2016,,White
122,M,2,07/07/2014,01/06/2017,1,5.0,,07/07/201401/06/2017,,White
123,M,2,10/05/2015,04/22/2016,1,1.0,,10/05/201504/22/2016,,White
124,F,2,10/14/2002,06/26/2015,1,1.0,,10/14/200206/26/2015,,White
125,F,2,07/06/2015,12/23/2015,1,1.0,,07/06/201512/23/2015,,White
126,F,1,08/24/2015,08/05/2016,1,1.0,,08/24/201508/05/2016,,White
127,M,2,12/04/2015,02/29/2016,2,1.0,,12/04/201502/29/2016,,White
128,M,2,12/31/2012,11/06/2015,1,1.0,,12/31/201211/06/2015,,White
129,M,2,08/15/2006,09/28/2015,1,1.0,,08/15/200609/28/2015,,White
130,F,2,02/23/2015,11/20/2015,1,1.0,,02/23/201511/20/2015,,White
131,M,2,03/02/2015,08/02/2016,2,1.0,,03/02/201508/02/2016,,White
132,M,2,09/21/2015,03/03/2016,1,1.0,,09/21/201503/03/2016,,White
133,M,2,05/29/2015,03/04/2016,1,1.0,,05/29/201503/04/2016,,White
134,M,2,12/13/2010,08/21/2015,1,3.0,,12/13/201008/21/2015,,White
135,F,2,12/28/2015,10/12/2016,1,1.0,,12/28/201510/12/2016,,White
136,F,2,09/13/2010,01/07/2016,1,1.0,,09/13/201001/07/2016,,White
137,F,1,01/04/2016,03/14/2016,1,1.0,,01/04/201603/14/2016,,White
138,M,2,05/12/2014,07/11/2016,1,1.0,,05/12/201407/11/2016,,White
139,M,1,12/07/2015,05/03/2016,1,1.0,,12/07/201505/03/2016,,White
140,M,1,12/14/2015,03/16/2016,1,1.0,,12/14/201503/16/2016,,White
141,M,2,11/10/2003,04/01/2016,1,5.0,,11/10/200304/01/2016,,White
142,M,2,05/16/2005,09/23/2016,1,1.0,,05/16/200509/23/2016,,White
143,M,2,06/23/2014,01/24/2017,2,1.0,,06/23/201401/24/2017,,White
144,M,2,07/13/2015,10/18/2016,1,1.0,,07/13/201510/18/2016,,White
145,M,2,02/02/2009,01/22/2016,1,2.0,,02/02/200901/22/2016,,White
146,F,2,08/16/2010,11/23/2015,1,1.0,,08/16/201011/23/2015,,White
147,M,2,05/23/2011,08/17/2016,1,1.0,,05/23/201108/17/2016,,White
148,M,2,01/12/2015,07/18/2016,1,1.0,,01/12/201507/18/2016,,White
149,M,2,07/08/2013,06/24/2016,2,1.0,,07/08/201306/24/2016,,White
150,M,2,03/31/2014,12/18/2015,1,1.0,,03/31/201412/18/2015,,White
151,M,2,07/28/2014,09/17/2015,2,1.0,,07/28/201409/17/2015,,White
152,F,2,12/28/2015,02/23/2016,1,1.0,,12/28/201502/23/2016,,White
153,F,2,01/11/2016,07/07/2016,1,1.0,,01/11/201607/07/2016,,White
154,M,1,10/26/2015,04/08/2016,1,1.0,,10/26/201504/08/2016,,White
155,M,1,02/16/2016,04/18/2016,1,1.0,,02/16/201604/18/2016,,White
156,F,1,02/01/2016,03/30/2016,1,1.0,,02/01/201603/30/2016,,White
157,M,2,05/17/2004,08/31/2015,1,4.0,,05/17/200408/31/2015,,White
158,F,2,05/16/2016,08/10/2016,1,1.0,,05/16/201608/10/2016,,White
159,M,2,02/07/2005,03/12/2007,1,1.0,,02/07/200503/12/2007,,White
160,F,2,12/01/2008,05/25/2011,1,1.0,,12/01/200805/25/2011,,White
161,F,2,06/18/2007,09/21/2007,1,1.0,,06/18/200709/21/2007,,White
162,M,1,08/22/2016,10/03/2016,1,1.0,,08/22/201610/03/2016,,White
163,F,1,05/11/2016,08/26/2016,1,1.0,,05/11/201608/26/2016,,White
164,F,1,05/11/2016,09/02/2016,1,1.0,,05/11/201609/02/2016,,White
165,F,1,09/06/2005,07/31/2014,1,1.0,,09/06/200507/31/2014,,White
166,M,1,02/03/2014,07/02/2014,2,1.0,,02/03/201407/02/2014,,White
167,M,1,05/17/2007,08/26/2016,1,1.0,,05/17/200708/26/2016,,White
168,M,1,05/28/2007,08/12/2016,2,4.0,,05/28/200708/12/2016,,White
169,F,1,08/13/2001,02/28/2014,1,1.0,,08/13/200102/28/2014,,White
170,M,1,09/12/2011,12/16/2016,2,1.0,,09/12/201112/16/2016,,White
171,F,1,04/09/2007,05/15/2014,1,1.0,,04/09/200705/15/2014,,White
172,F,1,05/28/2012,07/29/2016,1,1.0,,05/28/201207/29/2016,,White
173,F,1,08/18/2014,08/22/2016,1,1.0,,08/18/201408/22/2016,,White
174,M,1,08/27/2012,02/03/2015,2,1.0,,08/27/201202/03/2015,,White
175,M,1,10/24/2012,04/24/2015,1,1.0,,10/24/201204/24/2015,,White
176,M,1,08/05/2014,11/24/2014,2,1.0,,08/05/201411/24/2014,,White
177,M,1,08/18/2014,01/30/2015,1,1.0,,08/18/201401/30/2015,,White
