,rank,Video,Video views,Likes,Dislikes,Category,published
106,107,Ricchi E Poveri - Ma non tutta la vita (Official Video) | Sanremo 2024,"68,49,596","59,198",,Music,2024
107,108,Trueno - PULL UP! (Official Video),"14,34,999","86,484",,Music,2024
108,109,"Fasma, GG - Parlami (Official Video - Sanremo 2021)","7,57,718","25,704",243,Music,2021
110,111,Isadora Pompeo - Tetelestai (Ao Vivo) ft. Carol Tauber,"12,05,733","34,861",,Music,2024
111,112,ARIETE - MARE DI GUAI (Official Video - Sanremo 2023),"11,30,141","17,689",,Music,2023
112,113,Dennis Lloyd - Never Go Back (Official Video),"7,20,437","26,772",274,Music,2019
117,118,Cazzu - Miedo,"27,61,300","2,89,010","7,719",Music,2020
118,119,"Gazo, Tiakola - CARTIER (Visualizer)","13,66,275","34,494",,Music,2023
119,120,UWAIE,"81,14,376","1,22,955",,Music,2024
120,121,Trueno - REAL GANGSTA LOVE (Official Video),"1,59,85,735","2,63,086",,Music,2024
122,123,Fedez - PRIMA DI OGNI COSA (Teaser),"8,85,149","29,689","2,992",Music,2018
123,124,"Lil Nas X, Cardi B - Rodeo (Official Audio)","17,83,881","2,54,185","8,177",Music,2019
124,125,Conan Gray - The Story,"2,52,272","72,135",195,Music,2020
126,127,Ysrael Barajas - GPI 2 (Video Oficial),"9,83,919","20,719",,Music,2024
127,128,"Gazo, Tiakola - NOTRE DAME (Visualizer)","15,51,825","27,064",,Music,2023
129,130,Aslay - Inauma (Official Music Video),"16,06,569","34,829",,Music,2023
132,133,Gazo - 100K (Visualizer),"11,67,599","32,821",,Music,2023
133,134,ALFA - Vai! (Official Video - Sanremo 2024),"51,92,650","49,065",,Music,2024
134,135,Classy 101,"1,11,70,714","1,57,703",,Music,2023
136,137,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho","2,20,98,74,850","97,68,545",,Music,2019
137,138,"J.P., NLE Choppa - Bad Bitty (Remix) [Official Music Video]","9,87,265","46,378",,Music,2024
138,139,Tyla Yaweh - I Think I Luv Her (Lyric Video) ft. YG,"21,24,429","19,110","1,256",Music,2019
139,140,PUN - BF (feat. URBOYTJ),"15,88,998","39,090",,Music,2024
141,142,DIE 4 YOU,"57,66,751","65,566",,Music,2023
143,144,너라는 별,"44,06,467","18,295",,Music,2024
144,145,Eladio Carrión - Cuevita (Live Session) | Vevo ctrl,"22,46,356","26,765",,Music,2023
145,146,Say My Name,"18,45,505","18,095",,Music,2023
146,147,ETA (RMX),"10,36,672","33,644",,Music,2024
147,148,Big Homiie G - Who Got It (Official Video) ft. Finesse2Tymes,"8,65,867","24,156",,Music,2022
148,149,"GloRilla, Cardi B - Tomorrow 2 (Official Music Video)","3,19,09,765","6,38,566",,Music,2022
149,150,"Asake, Travis Scott - Active (Official Video)","62,32,792","1,84,120",,Music,2024
150,151,Eden Muñoz - Traigo Saldo y Ganas de Rogar,"10,77,182","18,109",,Music,2024
151,152,DAY - Na Sua Mão,"3,11,930","35,208",325,Music,2019
152,153,Laf 2.0,"10,68,698","11,495",,Music,2024
155,156,Фортеця Бахмут,"7,00,921","20,921",,Music,2023
157,158,Prohibidox,"71,49,556","1,09,633",,Music,2022
158,159,Mark Tuan - lonely (rock version) [Official Video],"2,50,551","47,398",,Music,2022
159,160,Shaboozey - A Bar Song (Tipsy) [Official Visualizer],"49,41,173","1,21,986",,Music,2024
160,161,Nikita Kering' - On Yah (Intro),"7,26,705","32,777",,Music,2022
161,162,Coma_Cose - L'ADDIO (Official Video - Sanremo 2023),"36,72,887","41,513",,Music,2023
162,163,Nanpa Básico - Cuando Vienes (Official Video),"6,86,747","24,507",,Music,2024
163,164,Doechii - DENIAL IS A RIVER (Official Video),"99,50,373","7,70,587",,Music,2025
164,165,Destroy Lonely - how u feel? (Official Music Video),"8,45,139","46,444",,Music,2023
165,166,‎Good Night Good Dream (좋은 밤 좋은 꿈),"17,76,477","9,118",,Music,2024
166,167,don't leave me (거짓말처럼),"17,87,169","13,937",,Music,2024
167,168,Bi Polar (SAYGI1),"8,85,313","12,792",,Music,2024
171,172,ECKO - ICE (Official Video),"22,29,501","1,49,653","10,701",Music,2018
172,173,Marshmello x Jonas Brothers - Leave Before You Love Me (Official Music Video),"3,44,124","62,256",559,Music,2021
174,175,Можно я с тобой,"13,56,781","37,200",,Music,2024
175,176,No_se_ve.mp3,"30,85,869","45,677",,Music,2023
177,178,Morray - Can’t Use Me (Official Music Video),"3,45,086","26,022",289,Music,2021
178,179,FMK - Parte de Mi (Official Video) ft. Lit Killah,"3,03,497","71,457",517,Music,2019
179,180,Me And The Devil (SLOWED + ECO),"15,93,787","18,204",,Music,2025
183,184,Helena - Summer Body (Clip Officiel),"9,21,210","43,854",,Music,2024
185,186,girl in red - Too Much (Official Video),"2,68,038","31,023",,Music,2024
186,187,Artifact new game announcement from Valve crowd reaction,"13,01,165","17,084","1,900",Music,2017
187,188,Rels B - ORGULLO (Videoclip Oficial),"3,40,606","72,349",815,Music,2019
188,189,Brenda Lee - Rockin' Around The Christmas Tree (Official Music Video),"26,05,084","55,604",,Music,2023
