,rank,Video,Video views,Likes,Dislikes,Category,published,Category_Autos & Vehicles,Category_Comedy,Category_Education,Category_Entertainment,Category_Film & Animation,Category_Gaming,Category_Howto & Style,Category_Music,Category_News & Politics,Category_Nonprofits & Activism,Category_People & Blogs,Category_Pets & Animals,Category_Science & Technology,Category_Sports,Category_Travel & Events
878,879,Bro drove home with no music on after that 🤣 #automobile #funny #forzahorizon5 #viralvideo,"13,131,658","1,111,183",,Autos & Vehicles,2024,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
879,880,Metallica-Fade To Black,"35,496,234","88,736","2,442",Music,2006,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
880,881,Keg tapping goes horribly wrong.,"751,804","3,427",313,Entertainment,2017,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
881,882,Lil Tjay - 20/20 (Official Audio),"716,183","77,596",318,Music,2020,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
882,883,David Cook and David Archuleta Guitar Hero Commercials!,"2,911,092","8,025",495,Entertainment,2008,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
883,884,KIKESA - À ma place (Clip Officiel),"140,480","12,693",116,Music,2021,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
884,885,"Beéle, Farruko - Santorini (Official Video)","7,986,386","123,233",,Music,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
885,886,Babyface Ray - Count Money (Official Video) ft. Bossman Dlow,"753,428","27,421",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
886,887,Dad and son love ❤️#love #cute #trendingshorts#viralvideo #viralshort #trending #trend#viralreels,"21,114,813","1,299,490",,People & Blogs,2024,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
887,888,attento a chi segui...,"21,782,579","747,033",,People & Blogs,2024,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
888,889,Mii Channel Theme Band Prank,"541,067","8,480",85,People & Blogs,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
889,890,The best gymnastics of the world 1,"1,998,858","1,783",292,Sports,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
890,891,"Behind Bars in Mumbai's Train, India 🇮🇳","14,037,660","906,485",,People & Blogs,2023,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
891,892,Modern technology Gate In Market Available  #home  #interiordesign  #homedecor  #realestate,"32,574,963","606,165",,Entertainment,2024,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
892,893,Director Explains the STUNTS in HOME ALONE #homealone #behindthescene,"14,392,476","855,048",,Film & Animation,2024,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
893,894,Amore Mio,"366,026","7,119",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
894,895,Cute couple #couple #cute #goals #relationship #pretty #viral #trending #kdrama #kpop #meme #memes,"12,557,924","1,090,648",,Gaming,2024,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
895,896,Stephen Colbert's wife cameo at her husband's Late Show!,"3,791,687","25,323",764,Comedy,2017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
